filepath,author,comment,replies,anchor,created
IMAGERY_TRIAGE.xlsx,,(no comment),,,
manifest.jsonl,,(no comment),,,
11-hands-and-vignettes/hand-brass-railing.jpg,michael singleton,nice,,"[null,[null,[0.3071242397914856,0.2841007819287576,0.7415291051259774,0.8158123370981754]],null,""0B4FkjOvGXGNBdEVWRGkxaWRkNlArTjJ2QjhiZ05adTBMbXVzPQ""]",2026-05-05T20:10:25.316Z
11-hands-and-vignettes/hand-stone-balustrade.jpg,michael singleton,reverse watch,,"[null,[null,[0.2758470894874022,0.34839270199826233,0.7953953084274543,0.8088618592528236]],null,""0B4FkjOvGXGNBRlV0YU9uL295UW9lVVgxeVdPeGRkWFNJYTE0PQ""]",2026-05-05T20:10:18.869Z
10-cabin-stills/cabin-breakfast-late.jpg,michael singleton,clouds too fake,,"[null,[null,[0.23003109198918809,0.5013032145960035,0.9995935038271311,1]],null,""0B4FkjOvGXGNBTEFNb0hUMkdVUG54RXEzYklDdEVUTUJObmJNPQ""]",2026-05-05T20:10:04.418Z
10-cabin-stills/cabin-skis-correct-scale.jpg,michael singleton,feels out of place,,"[null,[null,[0.51939667742629,0.47958297132927885,0.767674211623045,0.8861859252823632]],null,""0B4FkjOvGXGNBanBVdHppaGNRWDM5aFN1UXo2akR3V0JNRXE0PQ""]",2026-05-05T20:09:54.599Z
10-cabin-stills/cabin-pet-carrier.jpg,michael singleton,weird dog,,"[null,[null,[0.2842907359642373,0.3249348392701998,0.78474313559422,0.7923544743701129]],null,""0B4FkjOvGXGNBdkJUSGhXd09pSVNOOXdEdDVQZUNKN3hhaTA0PQ""]",2026-05-05T20:09:45.135Z
10-cabin-stills/cabin-crew-still.jpg,michael singleton,nice,,"[null,[null,[0.3662033014769765,0.4257167680278019,0.6807124239791484,0.9000868809730669]],null,""0B4FkjOvGXGNBbjVIRk5iaGNlQXc1UW9nMGFxVmhFckszYjhrPQ""]",2026-05-05T20:09:33.306Z
10-cabin-stills/cabin-laptop-tablet.jpg,michael singleton,ok that's fine,,"[null,[null,[0.3409471997223723,0.42224152910512597,0.8908431446034666,1]],null,""0B4FkjOvGXGNBMVA0Uk5EYW5HeDdrdXVydmpOZC9aSXZqWElzPQ""]",2026-05-05T20:09:27.339Z
10-cabin-stills/cabin-bulkhead-detail.jpg,michael singleton,ok nice,,"[null,[null,[0.3366637706342311,0.21720243266724587,0.6407471763683753,0.7523892267593397]],null,""0B4FkjOvGXGNBV09NU0tYRmpGSFZEeXRhS08wN3o1Tmg3ekxRPQ""]",2026-05-05T20:09:19.471Z
10-cabin-stills/cabin-stateroom-bed.jpg,michael singleton,lovely if accurate,,"[null,[null,[0.36616288678923026,0.3631624674196351,0.7153031692534171,0.9226759339704604]],null,""0B4FkjOvGXGNBeWZuSEJxUTFGMGlCaC9aazhCWVZzS1p2aVFvPQ""]",2026-05-05T20:09:07.219Z
10-cabin-stills/cabin-reading-lamp.jpg,michael singleton,"weird hand again, where is the person's body, outside the plane?",,"[null,[null,[0.18937734982751647,0.1355343179843614,0.9206418475627065,0.947002606429192]],null,""0B4FkjOvGXGNBSnhqWG9pRGw5YUMzczlTeVRtWW8vTFNZL1RrPQ""]",2026-05-05T20:08:57.706Z
10-cabin-stills/cabin-water-carafe.jpg,michael singleton,lovely,,"[null,[null,[0.28279756733275413,0.35273675065160726,0.7936576889661164,0.941789748045178]],null,""0B4FkjOvGXGNBNmU3R1FDelQ0MmFqSDRPdjViQXdhaUJUaWhrPQ""]",2026-05-05T20:08:41.667Z
10-cabin-stills/cabin-throw-still.jpg,michael singleton,nice,,"[null,[null,[0.23240660295395307,0.4622067767158992,0.8197219808861859,0.9209383145091224]],null,""0B4FkjOvGXGNBejg4Qi9FVVJKU1RXWkludXB3NzJlbHpxVTVZPQ""]",2026-05-05T20:08:36.241Z
10-cabin-stills/cabin-galley-detail.jpg,michael singleton,no need for towel,,"[null,[null,[0.17212037052993087,0.46915725456125107,0.6596300356867243,0.8757602085143353]],null,""0B4FkjOvGXGNBSUNoa3FyYmVYT2JGU0ZmVm03YVR6Z2pyOHV3PQ""]",2026-05-05T20:08:29.785Z
10-cabin-stills/cabin-window-soft-cloud.jpg,michael singleton,weird hand,,"[null,[null,[0.2799764911398409,0.6411815812337098,0.7523862994112469,0.9678540399652475]],null,""0B4FkjOvGXGNBQ1E4ajdxZFVVUkdGdmdBeDZtbXRnZUtwZ3BVPQ""]",2026-05-05T20:08:20.405Z
10-cabin-stills/cabin-seat-belt-folded.jpg,michael singleton,great,,"[null,[null,[0.2758470894874022,0.41702867072111205,0.7050390964378801,0.8479582971329278]],null,""0B4FkjOvGXGNBanZYMUpkdDBpOFdjZTVMWXhoZFFEdXJTckg4PQ""]",2026-05-05T20:08:12.912Z
